tpep_pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,h3_index,pickup_date
2016-01-04 01:01:40,1,-73.77686309814453,40.64546585083008,882a103b1dfffff,2016-01-04
2016-01-04 01:01:41,2,-74.00584411621092,40.74038314819336,882a10721bfffff,2016-01-04
2016-01-04 01:01:44,1,-74.00897979736328,40.71546173095703,882a1072c7fffff,2016-01-04
2016-01-04 01:01:44,1,-73.98146820068358,40.7787971496582,882a1008bbfffff,2016-01-04
2016-01-04 01:01:47,1,-74.00633239746092,40.73345565795898,882a1072cdfffff,2016-01-04
2016-01-04 01:01:47,2,-73.97174072265625,40.76290512084961,882a100d61fffff,2016-01-04
2016-01-04 01:01:49,1,-73.97993469238281,40.746627807617195,882a100d29fffff,2016-01-04
2016-01-04 01:01:49,5,-73.95699310302734,40.8176383972168,882a1008c1fffff,2016-01-04
2016-01-04 01:01:49,1,-74.01354217529298,40.71564102172852,882a1072c7fffff,2016-01-04
2016-01-04 01:01:49,1,-73.945068359375,40.833587646484375,882a100aa1fffff,2016-01-04
2016-01-04 01:01:49,5,-73.78183746337889,40.64469909667969,882a103b1dfffff,2016-01-04
2016-01-04 01:01:50,2,-73.9973373413086,40.74169158935546,882a100d25fffff,2016-01-04
2016-01-04 01:01:52,1,-73.98690032958984,40.73640441894531,882a100d23fffff,2016-01-04
2016-01-04 01:01:54,1,-73.94027709960938,40.82516098022461,882a100aa3fffff,2016-01-04
2016-01-04 01:01:54,1,-73.94027709960938,40.82516098022461,882a100aa3fffff,2016-01-04
2016-01-04 01:01:54,1,-73.99681854248048,40.7153434753418,882a1072c3fffff,2016-01-04
2016-01-04 01:01:56,1,-73.97843933105469,40.76261138916016,882a100d61fffff,2016-01-04
2016-01-04 01:01:59,2,-73.98876190185547,40.75757598876953,882a10725bfffff,2016-01-04
2016-01-04 01:01:59,1,-73.98772430419923,40.74406433105469,882a100d21fffff,2016-01-04
2016-01-04 01:02:00,1,-73.9764175415039,40.78585052490234,882a1008b9fffff,2016-01-04
2016-01-04 01:02:00,1,-73.97162628173827,40.76276016235352,882a100d61fffff,2016-01-04
2016-01-04 01:02:00,2,-73.98545837402342,40.758785247802734,882a100d67fffff,2016-01-04
2016-01-04 01:02:00,3,-73.92312622070312,40.74346923828125,882a100d51fffff,2016-01-04
2016-01-04 01:02:01,5,-73.99080657958984,40.73397445678711,882a100d23fffff,2016-01-04
2016-01-04 01:02:03,1,-73.99759674072266,40.75139617919922,882a107253fffff,2016-01-04
2016-01-04 01:02:04,2,-73.87361145019531,40.77404022216797,882a100f57fffff,2016-01-04
2016-01-04 01:02:07,6,-74.00399780273438,40.750938415527344,882a107253fffff,2016-01-04
2016-01-04 01:02:08,4,-73.99547576904298,40.74425506591797,882a100d25fffff,2016-01-04
2016-01-04 01:02:08,6,-74.00121307373048,40.7310905456543,882a1072cdfffff,2016-01-04
2016-01-04 01:02:09,1,-73.7767562866211,40.64543151855469,882a103b1dfffff,2016-01-04
2016-01-04 01:02:10,2,-73.97087860107422,40.80535888671875,882a100889fffff,2016-01-04
2016-01-04 01:02:10,1,-73.99318695068358,40.72260284423828,882a1072cbfffff,2016-01-04
2016-01-04 01:02:11,1,-73.96786499023438,40.80093765258789,882a100889fffff,2016-01-04
2016-01-04 01:02:11,1,-73.98931121826173,40.7580680847168,882a10725bfffff,2016-01-04
2016-01-04 01:02:14,1,-74.0054931640625,40.740768432617195,882a10721bfffff,2016-01-04
2016-01-04 01:02:16,1,-73.7767105102539,40.64536285400391,882a103b1dfffff,2016-01-04
2016-01-04 01:02:17,1,-74.01009368896483,40.720516204833984,882a1072c7fffff,2016-01-04
2016-01-04 01:02:17,1,-74.00088500976561,40.73174285888672,882a1072cdfffff,2016-01-04
2016-01-04 01:02:18,1,-73.99992370605469,40.73287582397461,882a1072cdfffff,2016-01-04
2016-01-04 01:02:21,1,-73.94922637939453,40.788249969482415,882a100899fffff,2016-01-04
2016-01-04 01:02:21,1,-73.93557739257811,40.747364044189446,882a100d55fffff,2016-01-04
2016-01-04 01:02:22,1,-73.99300384521484,40.762840270996094,882a107259fffff,2016-01-04
2016-01-04 01:02:24,1,-73.98776245117188,40.7384147644043,882a100d21fffff,2016-01-04
2016-01-04 01:02:27,1,-73.77680206298828,40.64505386352539,882a103b1dfffff,2016-01-04
2016-01-04 01:02:27,1,-73.990966796875,40.73405838012695,882a100d23fffff,2016-01-04
2016-01-04 01:02:28,1,-73.78196716308595,40.64457321166992,882a103b1dfffff,2016-01-04
2016-01-04 01:02:29,1,-73.98737335205078,40.74169921875,882a100d21fffff,2016-01-04
2016-01-04 01:02:30,2,-73.96693420410156,40.75341796875,882a100d63fffff,2016-01-04
2016-01-04 01:02:30,1,-73.98995971679686,40.734657287597656,882a100d23fffff,2016-01-04
2016-01-04 01:02:32,1,-73.98170471191406,40.7523307800293,882a100d67fffff,2016-01-04
2016-01-04 01:02:32,1,-73.97474670410156,40.74211120605469,882a100d2bfffff,2016-01-04
2016-01-04 01:02:33,1,-73.98661041259764,40.739910125732415,882a100d21fffff,2016-01-04
2016-01-04 01:02:34,1,-73.97435760498048,40.78313827514648,882a100895fffff,2016-01-04
2016-01-04 01:02:35,2,-73.98968505859375,40.741695404052734,882a100d21fffff,2016-01-04
2016-01-04 01:02:35,1,-74.01776123046875,40.70804977416992,882a10728dfffff,2016-01-04
2016-01-04 01:02:37,1,-73.99925994873048,40.72794342041016,882a1072c9fffff,2016-01-04
2016-01-04 01:02:40,1,-73.99439239501953,40.717132568359375,882a1072c3fffff,2016-01-04
2016-01-04 01:02:40,1,-73.95629119873048,40.81340026855469,882a1008c1fffff,2016-01-04
2016-01-04 01:02:40,1,-73.98976898193358,40.72052001953125,882a1072cbfffff,2016-01-04
2016-01-04 01:02:40,6,-73.97756195068358,40.75724029541016,882a100d67fffff,2016-01-04
2016-01-04 01:02:41,1,-73.9924087524414,40.75358963012695,882a10725bfffff,2016-01-04
2016-01-04 01:02:43,1,-73.96096038818358,40.7653694152832,882a100d69fffff,2016-01-04
2016-01-04 01:02:44,1,-73.77669525146483,40.64535903930664,882a103b1dfffff,2016-01-04
2016-01-04 01:02:44,2,-73.92169189453125,40.76653289794922,882a100f35fffff,2016-01-04
2016-01-04 01:02:46,1,-73.98419189453125,40.75830078125,882a100d67fffff,2016-01-04
2016-01-04 01:02:46,1,-73.78125762939453,40.64494323730469,882a103b1dfffff,2016-01-04
2016-01-04 01:02:46,1,-73.77684783935547,40.645366668701165,882a103b1dfffff,2016-01-04
2016-01-04 01:02:47,2,-73.97149658203125,40.7629508972168,882a100d61fffff,2016-01-04
2016-01-04 01:02:49,1,-73.98954772949219,40.757591247558594,882a10725bfffff,2016-01-04
2016-01-04 01:02:49,1,-73.7767562866211,40.64531707763672,882a103b1dfffff,2016-01-04
2016-01-04 01:02:52,1,-73.9846420288086,40.76438903808594,882a100d65fffff,2016-01-04
2016-01-04 01:02:52,1,-73.94259643554686,40.75382614135742,882a100d43fffff,2016-01-04
2016-01-04 01:02:53,1,-73.98841857910156,40.71974563598633,882a1072cbfffff,2016-01-04
2016-01-04 01:02:53,1,-73.99735260009764,40.72164535522461,882a1072c1fffff,2016-01-04
2016-01-04 01:02:54,1,-73.9169921875,40.7431755065918,882a100d5bfffff,2016-01-04
2016-01-04 01:02:56,1,-73.97889709472656,40.68674087524414,882a100da5fffff,2016-01-04
2016-01-04 01:02:57,2,-73.99373626708984,40.73273086547852,882a100d27fffff,2016-01-04
2016-01-04 01:02:58,1,-73.98731231689453,40.7198486328125,882a1072cbfffff,2016-01-04
2016-01-04 01:02:59,2,-73.97972106933594,40.76626586914063,882a100d6dfffff,2016-01-04
2016-01-04 01:02:59,3,-73.99166107177734,40.75960540771485,882a10725bfffff,2016-01-04
2016-01-04 01:02:59,2,-74.00885772705078,40.711040496826165,882a107289fffff,2016-01-04
2016-01-04 01:03:00,1,-73.98824310302734,40.748294830322266,882a100d2dfffff,2016-01-04
2016-01-04 01:03:01,2,-73.97709655761719,40.74292755126953,882a100d2bfffff,2016-01-04
2016-01-04 01:03:01,3,-73.98500061035155,40.74802017211913,882a100d2dfffff,2016-01-04
2016-01-04 01:03:01,2,-73.78177642822266,40.644718170166016,882a103b1dfffff,2016-01-04
2016-01-04 01:03:02,1,-73.9683837890625,40.75505828857422,882a100d63fffff,2016-01-04
2016-01-04 01:03:02,2,-74.00601959228516,40.74127960205078,882a10721bfffff,2016-01-04
2016-01-04 01:03:03,1,-74.00289916992188,40.73369598388672,882a1072cdfffff,2016-01-04
2016-01-04 01:03:07,1,-73.98845672607422,40.76422500610352,882a100d65fffff,2016-01-04
2016-01-04 01:03:09,1,-73.9759750366211,40.76025772094727,882a100d61fffff,2016-01-04
2016-01-04 01:03:10,1,-73.87384796142578,40.77378845214844,882a100f57fffff,2016-01-04
2016-01-04 01:03:10,5,-73.9944839477539,40.738990783691406,882a100d27fffff,2016-01-04
2016-01-04 01:03:10,5,-73.96041107177734,40.76168823242188,882a100d6bfffff,2016-01-04
2016-01-04 01:03:11,4,-73.99998474121092,40.72860336303711,882a1072cdfffff,2016-01-04
2016-01-04 01:03:11,3,-73.99124908447266,40.76551818847656,882a107259fffff,2016-01-04
2016-01-04 01:03:13,1,-73.96961975097656,40.785053253173835,882a100895fffff,2016-01-04
2016-01-04 01:03:14,1,-73.77667999267578,40.64537811279297,882a103b1dfffff,2016-01-04
2016-01-04 01:03:14,1,-73.96148681640625,40.760440826416016,882a100d6bfffff,2016-01-04
2016-01-04 01:03:14,1,-74.00232696533203,40.733497619628906,882a1072cdfffff,2016-01-04
2016-01-04 01:03:14,1,-74.008056640625,40.7412223815918,882a10721bfffff,2016-01-04
2016-01-04 01:03:15,1,-73.78206634521484,40.64466094970703,882a103b1dfffff,2016-01-04
2016-01-04 01:03:16,1,-73.97476196289062,40.75311279296875,882a100d63fffff,2016-01-04
2016-01-04 01:03:16,1,-73.99239349365233,40.7434196472168,882a100d21fffff,2016-01-04
2016-01-04 01:03:17,1,-73.961181640625,40.76476287841797,882a100d69fffff,2016-01-04
2016-01-04 01:03:17,1,-73.97305297851561,40.79283905029297,882a100883fffff,2016-01-04
2016-01-04 01:03:17,2,-73.98898315429686,40.75681686401367,882a10725bfffff,2016-01-04
2016-01-04 01:03:17,1,-73.98385620117188,40.72555923461913,882a100d35fffff,2016-01-04
2016-01-04 01:03:18,1,-73.96529388427734,40.76056289672852,882a100d6bfffff,2016-01-04
2016-01-04 01:03:18,2,-73.97745513916014,40.7844123840332,882a1008b9fffff,2016-01-04
2016-01-04 01:03:18,1,-73.97711944580078,40.7847900390625,882a1008b9fffff,2016-01-04
2016-01-04 01:03:19,1,-73.99028778076173,40.76083755493164,882a10725bfffff,2016-01-04
2016-01-04 01:03:20,1,-73.98294830322266,40.722618103027344,882a100d35fffff,2016-01-04
2016-01-04 01:03:20,1,-73.99323272705078,40.68268203735352,882a10729bfffff,2016-01-04
2016-01-04 01:03:21,1,-73.98554992675781,40.757518768310554,882a100d67fffff,2016-01-04
2016-01-04 01:03:21,1,-73.9857406616211,40.76800537109375,882a1008b3fffff,2016-01-04
2016-01-04 01:03:22,5,-73.94798278808595,40.83005905151367,882a100aa3fffff,2016-01-04
2016-01-04 01:03:22,6,-73.94264221191406,40.71477127075195,882a100d13fffff,2016-01-04
2016-01-04 01:03:23,1,-73.96051025390625,40.76984024047852,882a100893fffff,2016-01-04
2016-01-04 01:03:24,1,-73.98766326904298,40.69624710083008,882a1072d3fffff,2016-01-04
2016-01-04 01:03:26,1,-73.99022674560547,40.73138046264648,882a1072c9fffff,2016-01-04
2016-01-04 01:03:28,1,-73.989501953125,40.73443222045898,882a100d23fffff,2016-01-04
2016-01-04 01:03:28,2,-73.95021057128906,40.66390228271485,882a100db3fffff,2016-01-04
2016-01-04 01:03:30,6,-73.9871826171875,40.69203186035156,882a107299fffff,2016-01-04
2016-01-04 01:03:32,5,-73.9563980102539,40.779972076416016,882a100891fffff,2016-01-04
2016-01-04 01:03:33,2,-73.99471282958984,40.72787857055664,882a1072c9fffff,2016-01-04
2016-01-04 01:03:34,1,-73.97531890869139,40.74982070922852,882a100d29fffff,2016-01-04
2016-01-04 01:03:34,1,-73.98980712890625,40.76736068725586,882a107259fffff,2016-01-04
2016-01-04 01:03:36,1,-73.98186492919923,40.73248672485352,882a100d23fffff,2016-01-04
2016-01-04 01:03:38,1,-73.9990234375,40.73485565185546,882a100d27fffff,2016-01-04
2016-01-04 01:03:38,5,-73.9895782470703,40.72996139526367,882a1072c9fffff,2016-01-04
2016-01-04 01:03:39,2,-73.99019622802734,40.75656509399414,882a10725bfffff,2016-01-04
2016-01-04 01:03:39,2,-73.7819061279297,40.6447639465332,882a103b1dfffff,2016-01-04
2016-01-04 01:03:40,1,-73.99304962158203,40.72271728515625,882a1072cbfffff,2016-01-04
2016-01-04 01:03:40,2,-74.00345611572266,40.74166870117188,882a10721bfffff,2016-01-04
2016-01-04 01:03:40,1,-74.0032501220703,40.725200653076165,882a1072c1fffff,2016-01-04
2016-01-04 01:03:41,1,-73.99549102783203,40.72172164916992,882a1072cbfffff,2016-01-04
2016-01-04 01:03:45,1,-73.9631118774414,40.80401611328125,882a100889fffff,2016-01-04
2016-01-04 01:03:45,1,-73.95697784423827,40.80474090576172,882a1008d5fffff,2016-01-04
2016-01-04 01:03:45,1,-73.9730224609375,40.79545211791992,882a100881fffff,2016-01-04
2016-01-04 01:03:46,1,-73.92099761962889,40.69118118286133,882a100dd5fffff,2016-01-04
2016-01-04 01:03:47,2,-73.98541259765625,40.7594108581543,882a100d65fffff,2016-01-04
2016-01-04 01:03:48,1,-73.98787689208984,40.7545280456543,882a100d67fffff,2016-01-04
2016-01-04 01:03:49,3,-73.99772644042967,40.721588134765625,882a1072c1fffff,2016-01-04
2016-01-04 01:03:50,1,-74.0101547241211,40.74732971191406,882a107219fffff,2016-01-04
2016-01-04 01:03:51,5,-73.98682403564453,40.7254638671875,882a100d35fffff,2016-01-04
2016-01-04 01:03:54,1,-73.99771881103516,40.74124526977539,882a100d25fffff,2016-01-04
2016-01-04 01:03:55,1,-73.98882293701173,40.76936340332031,882a1008b3fffff,2016-01-04
2016-01-04 01:03:56,3,-73.99964141845702,40.72819519042969,882a1072cdfffff,2016-01-04
2016-01-04 01:03:58,1,-73.99187469482422,40.74510955810546,882a100d21fffff,2016-01-04
2016-01-04 01:03:59,1,-74.0009536743164,40.73183822631836,882a1072cdfffff,2016-01-04
2016-01-04 01:03:59,2,-73.99134063720702,40.72372817993164,882a1072cbfffff,2016-01-04
2016-01-04 01:03:59,1,-73.95198822021484,40.77752304077149,882a10089bfffff,2016-01-04
2016-01-04 01:04:00,1,-73.7898178100586,40.64689636230469,882a103b03fffff,2016-01-04
